time,u,v,r,p,x,y,psi,phi,X_W,Y_W,N_W,K_W,δ,nps,x_bow,y_bow,x_stern,y_stern
0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9135514665226504,0.0,0.0,0.0,0.6108652381980153,13.2,1.5285,0.0,-1.5285,0.0
0.25041736227045075,1.4779006173257505,-0.013367513201000669,0.01823275252121504,0.10821097695876254,0.3728371388601113,-0.0013636863538443117,0.0023597591505924538,0.015149278422267798,-0.9135537980381682,0.0009091538173765928,0.0015396190845872485,7.273230539012743e-05,0.6108652381980153,13.2,1.9013328831640481,0.0022432021603630567,-1.1556586054438256,-0.00497057486805168
0.5008347245409015,1.4567308638314098,-0.027183944891040836,0.033132401360120314,0.13312533649306274,0.7402858909095564,-0.004492136905571671,0.00885204416033733,0.04717039925925437,-0.9135830381542077,0.0034109966878127554,0.005774966669599734,0.00027287973502502046,0.6108652381980153,13.2,2.2687260056749663,0.00903803589079535,-0.7881542238558537,-0.01802230970193869
0.7512520868113522,1.4361415243523836,-0.041205996835737266,0.045708510689787915,0.08030982884802895,1.1025740399813087,-0.008150205093640308,0.018759040817632418,0.07527206666360094,-0.9136847736571934,0.00723275815605688,0.012233967632802795,0.0005786206524845504,0.6108652381980153,13.2,2.6308051070606666,0.02052130713517301,-0.4256570270980493,-0.03682171732245362
1.001669449081803,1.4158314899651026,-0.055329745834149444,0.05720281458140695,-0.02158900646239964,1.4598546969378778,-0.011322302542456739,0.031656479344862154,0.08333616886321624,-0.9138996621814008,0.01222257976293342,0.020628346611876125,0.0009778063810346735,0.6108652381980153,13.2,2.9875888809910434,0.037056544853979544,-0.0678794871152879,-0.05970114993889302
1.2520868113522536,1.3955185494456805,-0.06949647981234378,0.06864702987456771,-0.13305420452470562,1.8122067480754627,-0.013118032372717256,0.04740451210291259,0.06364262681023712,-0.9142462019965537,0.01835184656217001,0.0308419006646151,0.0014681477249736008,0.6108652381980153,13.2,3.3389896564124006,0.0593126297131765,0.2854238397385245,-0.08554869445861102
1.5025041736227045,1.3749578323457363,-0.08364737605961174,0.08069091419626272,-0.21545278457514905,2.159631974781527,-0.012683142041188046,0.06608614110167671,0.019105682959305495,-0.9147032608928536,0.02570031395250839,0.04288158417282933,0.0020560251162006714,0.6108652381980153,13.2,3.684795420708062,0.08825601393654939,0.6344685288549923,-0.11362229801892548
1.7529215358931554,1.353955878616895,-0.09772241405969319,0.0936779582935413,-0.24457988654332363,2.502062584068326,-0.00914823762339139,0.08789666331382193,-0.03976504312951971,-0.9151791950322726,0.034427031372507355,0.05679202336449145,0.0027541625098005886,0.6108652381980153,13.2,4.0246619239410935,0.12502888493859265,0.9794632441955591,-0.14332536018537545
2.003338898163606,1.3323617025823535,-0.11167395234502674,0.10765242440149243,-0.21801173376979838,2.839361874243656,-0.001599810067981473,0.11308114163358736,-0.09881828223977465,-0.9154624298287686,0.04476583832018579,0.07259536903154974,0.0035812670656148633,0.6108652381980153,13.2,4.358099555637288,0.17087657995422675,1.3206241928500233,-0.17407620009018968
2.2537562604340566,1.3100290570146829,-0.12540632639681273,0.12227207199303293,-0.15101025934849452,3.1713216211590067,0.010895515602617967,0.14186884763355123,-0.1455252259678799,-0.9151502217125411,0.057025602077007624,0.09022333644453273,0.00456204816616061,0.6108652381980153,13.2,4.684465518908645,0.22701537749187067,1.6581777234093678,-0.20522434628663472
